SFR ID,SFR Name,SFR Detail,Dependencies
"FAU_SEL.1","Selective audit","FAU_SEL.1.1
The TSF shall be able to select the set of events to be audited from the set of all auditable 
events based on the following attributes:
a) [selection: object identity, user identity, subject identity, host identity, event type]
b) [assignment: list of additional attributes that audit selectivity is based upon]","FAU_GEN.1 AND FMT_MTD.1"
"FAU_STG.1","Audit data storage location","FAU_STG.1.1
The TSF shall be able to store generated audit data on the [selection: TOE itself, transmit
the generated audit data to an external IT entity using a trusted channel according to
FTP_ITC, [assignment: other storage location(s)].]","FAU_GEN.1 AND FTP_ITC.1"
"FAU_STG.2","Protected audit data storage","FAU_STG.2.1
The TSF shall protect the stored audit data in the audit trail from unauthorized deletion.
FAU_STG.2.2
The TSF shall be able to [selection, choose one of: prevent, detect] unauthorized 
modifications to the stored audit data in the audit trail.","FAU_GEN.1"
"FAU_STG.3","Guarantees of audit data availability","FAU_STG.3.1
The TSF shall protect the stored audit data in the audit trail from unauthorized deletion.
FAU_STG.3.2
The TSF shall be able to [selection, choose one of: prevent, detect] unauthorized modifications to 
the stored audit data in the audit trail.
FAU_STG.3.3
The TSF shall ensure that [assignment: metric for saving audit data] stored audit data will 
be maintained when the following conditions occur: [selection: audit data storage 
exhaustion, failure, attack].","FAU_GEN.1"
"FAU_STG.4","Action in case of possible audit data loss","FAU_STG.4.1
The TSF shall [assignment: actions to be taken in case of possible audit data storage failure] if 
the audit data storage exceeds [assignment: pre-defined limit].","FAU_STG.2"
"FAU_STG.5","Prevention of audit data loss","FAU_STG.5.1
The TSF shall [selection: ignore audited events, ""prevent audited events, except those taken 
by the authorized user with special rights"", overwrite the oldest stored audit records], 
[assignment: other actions to be taken in case of audit storage failure and conditions for the 
actions] if the audit data storage is full.","FAU_STG.2 AND FAU_GEN.1"
"FCO_NRO.1","Selective proof of origin","FCO_NRO.1.1
The TSF shall be able to generate evidence of origin for transmitted [assignment: list of 
information types] at the request of the [selection: originator, recipient, [assignment: list of 
third parties]].
FCO_NRO.1.2
The TSF shall be able to relate the [assignment: list of attributes] of the originator of the 
information, and the [assignment: list of information fields] of the information to which the 
evidence applies.
FCO_NRO.1.3
The TSF shall provide a capability to verify the evidence of origin of information to 
[selection: originator, recipient, [assignment: list of third parties]] given [assignment: 
limitations on the evidence of origin].","FIA_UID.1"
"FCO_NRO.2","Enforced proof of origin","FCO_NRO.2.1
The TSF shall enforce the generation of evidence of origin for transmitted [assignment: list of 
information types] at all times.
FCO_NRO.2.2
The TSF shall be able to relate the [assignment: list of attributes] of the originator of the 
information, and the [assignment: list of information fields] of the information to which the 
evidence applies.
FCO_NRO.2.3
The TSF shall provide a capability to verify the evidence of origin of information to [selection: 
originator, recipient, [assignment: list of third parties]] given [assignment: limitations on the 
evidence of origin].","FIA_UID.1"
"FCO_NRR.1","Selective proof of receipt","FCO_NRR.1.1
The TSF shall be able to generate evidence of receipt for received [assignment: list of 
information types] at the request of the [selection: originator, recipient, [assignment: list of 
third parties]].
FCO_NRR.1.2
The TSF shall be able to relate the [assignment: list of attributes] of the recipient of the 
information, and the [assignment: list of information fields] of the information to which the 
evidence applies.
FCO_NRR.1.3
The TSF shall provide a capability to verify the evidence of receipt of information to 
[selection: originator, recipient, [assignment: list of third parties]] given [assignment: 
limitations on the evidence of receipt].","FIA_UID.1"
"FCO_NRR.2","Enforced proof of receipt","FCO_NRR.2.1
The TSF shall enforce the generation of evidence of receipt for received [assignment: list of 
information types] at all times.
FCO_NRR.2.2
The TSF shall be able to relate the [assignment: list of attributes] of the recipient of the 
information, and the [assignment: list of information fields] of the information to which the 
evidence applies.
FCO_NRR.2.3
The TSF shall provide a capability to verify the evidence of receipt of information to [selection: 
originator, recipient, [assignment: list of third parties]] given [assignment: limitations on the 
evidence of receipt].","FIA_UID.1"
"FCS_CKM.1","Cryptographic key generation","FCS_CKM.1.1
The TSF shall generate cryptographic keys in accordance with a specified cryptographic 
key generation algorithm [assignment: cryptographic key generation algorithm] and 
specified cryptographic key sizes [assignment: cryptographic key sizes] that meet the 
following: [assignment: list of standards].","(FCS_CKM.2 OR FCS_CKM.5 OR FCS_COP.1) AND FCS_CKM.3 AND (FCS_RBG.1 OR FCS_RNG.1) AND FCS_CKM.6"
"FCS_CKM.2","Cryptographic key distribution","FCS_CKM.2.1
The TSF shall distribute cryptographic keys in accordance with a specified cryptographic 
key distribution method [assignment: cryptographic key distribution method] that meets 
the following: [assignment: list of standards].","(FDP_ITC.1 OR FDP_ITC.2 OR FCS_CKM.1 OR FCS_CKM.5) AND FCS_CKM.3"
"FCS_CKM.3","Cryptographic key access","FCS_CKM.3.1
The TSF shall perform [assignment: type of cryptographic key access] in accordance with a 
specified cryptographic key access method [assignment: cryptographic key access method] 
that meets the following: [assignment: list of standards].","(FDP_ITC.1 OR FDP_ITC.2 OR FCS_CKM.1 OR FCS_CKM.5)"
"FCS_CKM.4","Cryptographic key destruction","The component has been deprecated. See FCS_CKM.6 Timing and event of cryptographic key 
destruction instead.",""
"FCS_CKM.5","Cryptographic key derivation","FCS_CKM.5.1
The TSF shall derive cryptographic keys [assignment: key type] from [assignment: input 
parameters] in accordance with a specified key derivation algorithm [assignment: key 
derivation algorithm] and specified cryptographic key sizes [assignment: list of key sizes] 
that meet the following: [assignment: list of standards].
NOTE See E.2.6. for information on using this component.","(FCS_CKM.2 OR FCS_COP.1) AND FCS_CKM.6"
"FCS_CKM.6","Timing and event of cryptographic key destruction","FCS_CKM.6.1
The TSF shall destroy [assignment: list of cryptographic keys (including keying material)] 
when [selection: no longer needed, [assignment: other circumstances for key or keying 
material destruction]].
FCS_CKM.6.2
The TSF shall destroy cryptographic keys and keying material specified by FCS_CKM.6.1 in 
accordance with a specified cryptographic key destruction method [assignment: 
cryptographic key destruction method] that meets the following: [assignment: list of 
standards].","(FDP_ITC.1 OR FDP_ITC.2 OR FCS_CKM.1)"
"FCS_COP.1","Cryptographic operation","FCS_COP.1.1
The TSF shall perform [assignment: list of cryptographic operations] in accordance with a 
specified cryptographic algorithm [assignment: cryptographic algorithm] and 
cryptographic key sizes [assignment: cryptographic key sizes] that meet the following: 
[assignment: list of standards].","(FDP_ITC.1 OR FDP_ITC.2 OR FCS_CKM.1 OR FCS_CKM.5) AND FCS_CKM.3"
"FCS_RBG.1","Random bit generation (RBG)","FCS_RBG.1.1
The TSF shall perform deterministic random bit generation services using [assignment: 
RBG algorithm] in accordance with [assignment: list of standards] after initialization with 
a seed.
FCS_RBG.1.2
The TSF shall use a [selection: TSF noise source [assignment: name of noise source], TSF 
interface for seeding] for initialized seeding.
FCS_RBG.1.3
The TSF shall update the RBG state by [selection: reseeding, uninstantiating and re 
instantiating] using a [selection: TSF noise source [assignment: name of noise source], TSF 
interface for seeding] in the following situations: [selection:
— 
never;
— 
on demand;
— 
on the condition: [assignment: condition];
— 
after [assignment: time]]
in accordance with [assignment: list of standards].","FCS_RBG.2 AND FCS_RBG.3 AND FPT_FLS.1 AND FPT_TST.1"
"FCS_RBG.2","Random bit generation (external seeding)","FCS_RBG.2.1
The TSF shall be able to accept a minimum input of [assignment: minimum input length 
greater than zero] from a TSF interface for the purpose of seeding.","FCS_RBG.1"
"FCS_RBG.3","Random bit generation (internal seeding – single source)","FCS_RBG.3.1
The TSF shall be able to seed the RBG using a [selection: choose one of: TSF software-based 
noise source, TSF hardware-based noise source][assignment: name of noise source] with a 
minimum of [assignment: number of bits] bits of min-entropy.","FCS_RBG.1"
"FCS_RBG.4","Random bit generation (internal seeding – multiple sources)","FCS_RBG.4.1
The TSF shall be able to seed the RBG using [selection: [assignment: number] TSF software 
based noise source(s), [assignment: number] TSF hardware-based noise source(s)].","FCS_RBG.1 AND FCS_RBG.5"
"FCS_RBG.5","Random bit generation (combining noise sources)","FCS_RBG.5.1
The TSF shall [assignment: combining operation] [selection: output from TSF noise 
source(s), input from TSF interface(s) for seeding)] to create the entropy input into the 
derivation function as defined in [assignment: list of standards], resulting in a minimum of 
[assignment: number of bits] bits of min-entropy.","FCS_RBG.1 AND FCS_RBG.2 AND FCS_RBG.3 AND FCS_RBG.4"
"FCS_RBG.6","Random bit generation service","FCS_RBG.6.1
The TSF shall provide a [selection: hardware, software, [assignment: other interface type]] 
interface to make the RBG output, as specified in FCS_RBG.1 Random bit generation (RBG), 
available as a service to entities outside of the TOE.","FCS_RBG.1"
"FCS_RNG.1","Random number generation","FCS_RNG.1.1
The TSF shall provide a [selection: physical, non-physical true, deterministic, hybrid 
physical, hybrid deterministic] random number generator that implements: [assignment: 
list of security capabilities].
FCS_RNG.1.2
The TSF shall provide [selection: bits, octets of bits, numbers [assignment: format of the 
numbers]] that meet [assignment: a defined quality metric].",""
"FDP_ACC.1","Subset access control","FDP_ACC.1.1
The TSF shall enforce the [assignment: access control SFP] on [assignment: list of subjects, 
objects, and operations among subjects and objects covered by the SFP].","FDP_ACF.1"
"FDP_ACC.2","Complete access control","FDP_ACC.2.1
The TSF shall enforce the [assignment: access control SFP] on [assignment: list of subjects and
objects] and all operations among subjects and objects covered by the SFP.
FDP_ACC.2.2
The TSF shall ensure that all operations between any subject controlled by the TSF and any 
object controlled by the TSF are covered by an access control SFP.","FDP_ACF.1"
"FDP_ACF.1","Security attribute-based access control","FDP_ACF.1.1
The TSF shall enforce the [assignment: access control SFP] to objects based on the 
following: [assignment: list of subjects and objects controlled under the indicated SFP, and 
for each, the SFP-relevant security attributes, or named groups of SFP-relevant security 
attributes].
FDP_ACF.1.2
The TSF shall enforce the following rules to determine if an operation among controlled 
subjects and controlled objects is allowed: [assignment: rules governing access among 
controlled subjects and controlled objects using controlled operations on controlled objects].
FDP_ACF.1.3
The TSF shall explicitly authorize access of subjects to objects based on the following 
additional rules: [assignment: rules, based on security attributes, that explicitly authorize 
access of subjects to objects].
FDP_ACF.1.4
The TSF shall explicitly deny access of subjects to objects based on the following additional 
rules: [assignment: rules, based on security attributes, that explicitly deny access of subjects 
to objects].","FDP_ACC.1 AND FMT_MSA.3"
"FDP_DAU.1","Basic Data Authentication","FDP_DAU.1.1
The TSF shall provide a capability to generate evidence that can be used as a guarantee of 
the validity of [assignment: list of objects or information types].
FDP_DAU.1.2
The TSF shall provide [assignment: list of subjects] with the ability to verify evidence of the 
validity of the indicated information.",""
"FDP_DAU.2","Data Authentication with Identity of Guarantor","FDP_DAU.2.1
The TSF shall provide a capability to generate evidence that can be used as a guarantee of the 
validity of [assignment: list of objects or information types].
FDP_DAU.2.2
The TSF shall provide [assignment: list of subjects] with the ability to verify evidence of the 
validity of the indicated information and the identity of the user that generated the evidence.","FIA_UID.1"
"FDP_ETC.1","Export of user data without security attributes","FDP_ETC.1.1
The TSF shall enforce the [assignment: access control SFP(s) and/or information flow 
control SFP(s)] when exporting user data, controlled under the SFP(s), outside of the TOE.
FDP_ETC.1.2
The TSF shall export the user data without the user data's associated security attributes.","(FDP_ACC.1 OR FDP_IFC.1)"
"FDP_ETC.2","Export of user data with security attributes","FDP_ETC.2.1
The TSF shall enforce the [assignment: access control SFP(s) and/or information flow 
control SFP(s)] when exporting user data, controlled under the SFP(s), outside of the TOE.
FDP_ETC.2.2
The TSF shall export the user data with the user data's associated security attributes.
FDP_ETC.2.3
The TSF shall ensure that the security attributes, when exported outside the TOE, are 
unambiguously associated with the exported user data.
FDP_ETC.2.4
The TSF shall ensure that interpretation of the security attributes of the exported user data 
is as intended by the owner of the user data.
FDP_ETC.2.5
The TSF shall enforce the following rules when user data is exported from the TOE: 
[assignment: additional exportation control rules].","(FDP_ACC.1 OR FDP_IFC.1)"
"FDP_IFC.1","Subset information flow control","FDP_IFC.1.1
The TSF shall enforce the [assignment: information flow control SFP] on [assignment: list of 
subjects, information, and operations that cause controlled information to flow to and from 
controlled subjects covered by the SFP].","FDP_IFF.1"
"FDP_IFC.2","Complete information flow control","FDP_IFC.2.1
The TSF shall enforce the [assignment: information flow control SFP] on [assignment: list of 
subjects and information] and all operations that cause that information to flow to and from 
subjects covered by the SFP.
FDP_IFC.2.2
The TSF shall ensure that all operations that cause any information in the TOE to flow to 
and from any subject in the TOE are covered by an information flow control SFP.","FDP_IFF.1"
"FDP_IFF.1","Simple security attributes","FDP_IFF.1.1
The TSF shall enforce the [assignment: information flow control SFP] based on the following 
types of subject and information security attributes: [assignment: list of subjects and 
information controlled under the indicated SFP, and for each, the security attributes].
FDP_IFF.1.2
The TSF shall permit an information flow between a controlled subject and controlled 
information via a controlled operation if the following rules hold: [assignment: for each 
operation, the security attribute-based relationship that hold between subject and 
information security attributes].
FDP_IFF.1.3
The TSF shall enforce the [assignment: additional information flow control SFP rules].
FDP_IFF.1.4
The TSF shall explicitly authorize an information flow based on the following rules: 
[assignment: rules, based on security attributes, that explicitly authorize information flows].
FDP_IFF.1.5
The TSF shall explicitly deny an information flow based on the following rules: 
[assignment: rules, based on security attributes, that explicitly deny information flows].","FDP_IFC.1 AND FMT_MSA.3"
"FDP_IFF.2","Hierarchical security attributes","FDP_IFF.2.1
The TSF shall enforce the [assignment: information flow control SFP] based on the following types 
of subject and information security attributes: [assignment: list of subjects and information 
controlled under the indicated SFP, and for each, the security attributes].
FDP_IFF.2.2
The TSF shall permit an information flow between a controlled subject and controlled 
information via a controlled operation if the following rules, based on the ordering
relationships between security attributes hold: [assignment: for each operation, the security 
attribute-based relationship that shall hold between subject and information security attributes].
FDP_IFF.2.3
The TSF shall enforce the [assignment: additional information flow control SFP rules].
FDP_IFF.2.4
The TSF shall explicitly authorize an information flow based on the following rules: [assignment: 
rules, based on security attributes, that explicitly authorize information flows].
FDP_IFF.2.5
The TSF shall explicitly deny an information flow based on the following rules: [assignment: rules, 
based on security attributes, that explicitly deny information flows].
FDP_IFF.2.6
The TSF shall enforce the following relationships for any two valid information flow 
control security attributes:
a) there exists an ordering function that, given two valid security attributes, determines if the 
security attributes are equal, if one security attribute is greater than the other, or if the 
security attributes are incomparable; 
b) there exists a “least upper bound” in the set of security attributes, such that, given any two 
valid security attributes, there is a valid security attribute that is greater than or equal to the 
two valid security attributes; 
c) there exists a “greatest lower bound” in the set of security attributes, such that, given any two 
valid security attributes, there is a valid security attribute that is not greater than the two 
valid security attributes.","FDP_IFC.1 AND FMT_MSA.3"
"FDP_IFF.3","Limited illicit information flows","FDP_IFF.3.1
The TSF shall enforce the [assignment: information flow control SFP] to limit the capacity 
of [assignment: types of illicit information flows] to a [assignment: maximum capacity].","FDP_IFC.1"
"FDP_IFF.4","Partial elimination of illicit information flows","FDP_IFF.4.1
The TSF shall enforce the [assignment: information flow control SFP] to limit the capacity of 
[assignment: types of illicit information flows] to a [assignment: maximum capacity].
FDP_IFF.4.2
The TSF shall prevent [assignment: types of illicit information flows].","FDP_IFC.1"
"FDP_IFF.5","No illicit information flows","FDP_IFF.5.1
The TSF shall ensure that no illicit information flows exist to circumvent [assignment: name 
of information flow control SFP].","FDP_IFC.1"
"FDP_IFF.6","Illicit information flow monitoring","FDP_IFF.6.1
The TSF shall enforce the [assignment: information flow control SFP] to monitor 
[assignment: types of illicit information flows] when it exceeds the [assignment: maximum 
capacity].","FDP_IFC.1"
"FDP_IRC.1","Information retention control","FDP_IRC.1.1
The TSF shall enforce the [assignment: information erasure policy] on a [assignment: list of 
objects] required for [assignment: list of operations] so that the selected objects are deleted 
irreversibly and untraceably from the TOE promptly upon termination of the selected 
operations.
FDP_IRC.1.2
The TSF shall ensure that [assignment: list of objects] cannot be accessed after their release 
and prior to their irreversible and untraceable deletion.",""
"FDP_ITC.1","Import of user data without security attributes","FDP_ITC.1.1
The TSF shall enforce the [assignment: access control SFP(s) and/or information flow 
control SFP(s)] when importing user data, controlled under the SFP, from outside of the 
TOE.
FDP_ITC.1.2
The TSF shall ignore any security attributes associated with the user data when imported 
from outside the TOE.
FDP_ITC.1.3
The TSF shall enforce the following rules when importing user data controlled under the 
SFP from outside the TOE: [assignment: additional importation control rules].","(FDP_ACC.1 OR FDP_IFC.1) AND FMT_MSA.3"
"FDP_ITC.2","Import of user data with security attributes","FDP_ITC.2.1
The TSF shall enforce the [assignment: access control SFP(s) and/or information flow 
control SFP(s)] when importing user data, controlled under the SFP, from outside of the 
TOE.
FDP_ITC.2.2
The TSF shall use the security attributes associated with the imported user data.
FDP_ITC.2.3
The TSF shall ensure that the protocol used provides for the unambiguous association 
between the security attributes and the user data received.
FDP_ITC.2.4
The TSF shall ensure that interpretation of the security attributes of the imported user 
data is as intended by the source of the user data.
FDP_ITC.2.5
The TSF shall enforce the following rules when importing user data controlled under the 
SFP from outside the TOE: [assignment: additional importation control rules].","(FDP_ACC.1 OR FDP_IFC.1) AND (FTP_ITC.1 OR FTP_TRP.1) AND FPT_TDC.1"
"FDP_ITT.1","Basic internal transfer protection","FDP_ITT.1.1
The TSF shall enforce the [assignment: access control SFP(s) and/or information flow 
control SFP(s)] to prevent the [selection: disclosure, modification, loss of use] of user data 
when it is transmitted between physically-separated parts of the TOE.","(FDP_ACC.1 OR FDP_IFC.1)"
"FDP_ITT.2","Transmission separation by attribute","FDP_ITT.2.1
The TSF shall enforce the [assignment: access control SFP(s) and/or information flow control 
SFP(s)] to prevent the [selection: disclosure, modification, loss of use] of user data when it is 
transmitted between physically-separated parts of the TOE.
FDP_ITT.2.2
The TSF shall separate data controlled by the SFP(s) when transmitted between physically 
separated parts of the TOE, based on the values of the following: [assignment: security 
attributes that require separation].","(FDP_ACC.1 OR FDP_IFC.1)"
"FDP_ITT.3","Integrity monitoring","FDP_ITT.3.1
The TSF shall enforce the [assignment: access control SFP(s) and/or information flow 
control SFP(s)] to monitor user data transmitted between physically-separated parts of the 
TOE for the following errors: [assignment: integrity errors].
FDP_ITT.3.2
Upon detection of a data integrity error, the TSF shall [assignment: specify the action to be 
taken upon integrity error].","(FDP_ACC.1 OR FDP_IFC.1) AND FDP_ITT.1"
"FDP_ITT.4","Attribute-based integrity monitoring","FDP_ITT.4.1
The TSF shall enforce the [assignment: access control SFP(s) and/or information flow control 
SFP(s)] to monitor user data transmitted between physically-separated parts of the TOE for the 
following errors: [assignment: integrity errors], based on the following attributes:
[assignment: security attributes that require separate transmission channels].
FDP_ITT.4.2
Upon detection of a data integrity error, the TSF shall [assignment: specify the action to be taken 
upon integrity error].","(FDP_ACC.1 OR FDP_IFC.1) AND FDP_ITT.2"
"FDP_RIP.1","Subset residual information protection","FDP_RIP.1.1
The TSF shall ensure that any previous information content of a resource is made 
unavailable upon the [selection: allocation of the resource to, deallocation of the resource 
from] the following objects: [assignment: list of objects].",""
"FDP_RIP.2","Full residual information protection","FDP_RIP.2.1
The TSF shall ensure that any previous information content of a resource is made unavailable 
upon the [selection: allocation of the resource to, deallocation of the resource from] all objects.",""
"FDP_ROL.1","Basic rollback","FDP_ROL.1.1
The TSF shall enforce [assignment: access control SFP(s) and/or information flow control 
SFP(s)] to permit the rollback of the [assignment: list of operations] on the [assignment: 
information and/or list of objects].
FDP_ROL.1.2
The TSF shall permit operations to be rolled back within the [assignment: boundary limit 
to which rollback may be performed].","(FDP_ACC.1 OR FDP_IFC.1)"
"FDP_ROL.2","Advanced rollback","FDP_ROL.2.1
The TSF shall enforce [assignment: access control SFP(s) and/or information flow control SFP(s)] 
to permit the rollback of all the operations on the [assignment: list of objects].
FDP_ROL.2.2
The TSF shall permit operations to be rolled back within the [assignment: boundary limit to which 
rollback may be performed].","(FDP_ACC.1 OR FDP_IFC.1)"
"FDP_SDC.1","Stored data confidentiality","FDP_SDC.1.1
The TSF shall ensure the confidentiality of [selection: all user data, the following user data
[assignment: list of user data]] while it is stored in the [selection: temporary memory, 
persistent memory, any memory].",""
"FDP_SDC.2","Stored data confidentiality with dedicated method","FDP_SDC.2.1
The TSF shall ensure the confidentiality of the [selection: all user data, the following user 
data [assignment: list of user data]] according to [assignment: data characteristics] while 
it is stored under the control of the TSF.
FDP_SDC.2.2
The TSF shall ensure the confidentiality of the user data specified in FDP_SDC.2.1 without 
user intervention.","FCS_COP.1"
"FDP_SDI.1","Stored data integrity monitoring","FDP_SDI.1.1
The TSF shall monitor user data stored in containers controlled by the TSF for 
[assignment: integrity errors] on all objects, based on the following attributes: 
[assignment: user data attributes].",""
"FDP_SDI.2","Stored data integrity monitoring and action","FDP_SDI.2.1
The TSF shall monitor user data stored in containers controlled by the TSF for [assignment: 
integrity errors] on all objects, based on the following attributes: [assignment: user data 
attributes].
FDP_SDI.2.2
Upon detection of a data integrity error, the TSF shall [assignment: action to be taken].",""
"FDP_UCT.1","Basic data exchange confidentiality","FDP_UCT.1.1
The TSF shall enforce the [assignment: access control SFP(s) and/or information flow 
control SFP(s)] to [selection: transmit, receive] user data in a manner protected from 
unauthorized disclosure.","(FTP_ITC.1 OR FTP_TRP.1) AND (FDP_ACC.1 OR FDP_IFC.1)"
"FDP_UIT.1","Data exchange integrity","FDP_UIT.1.1
The TSF shall enforce the [assignment: access control SFP(s) and/or information flow 
control SFP(s)] to [selection: transmit, receive] user data in a manner protected from 
[selection: modification, deletion, insertion, replay] errors.
FDP_UIT.1.2
The TSF shall be able to determine on receipt of user data, whether [selection: 
modification, deletion, insertion, replay] has occurred.","(FDP_ACC.1 OR FDP_IFC.1) AND (FTP_ITC.1 OR FTP_TRP.1)"
"FDP_UIT.2","Source data exchange recovery","FDP_UIT.2.1
The TSF shall enforce the [assignment: access control SFP(s) and/or information flow 
control SFP(s)] to be able to recover from [assignment: list of recoverable errors] with the 
help of the source trusted IT product.","(FDP_ACC.1 OR FDP_IFC.1) AND (FDP_UIT.1 OR FTP_ITC.1)"
"FDP_UIT.3","Destination data exchange recovery","FDP_UIT.3.1
The TSF shall enforce the [assignment: access control SFP(s) and/or information flow control 
SFP(s)] to be able to recover from [assignment: list of recoverable errors] without any help from
the source trusted IT product.","(FDP_ACC.1 OR FDP_IFC.1) AND (FDP_UIT.1 OR FTP_ITC.1)"
"FIA_AFL.1","Authentication failure handling","FIA_AFL.1.1
The TSF shall detect when [selection: [assignment: positive integer number], an 
administrator configurable positive integer within [assignment: range of acceptable 
values]] unsuccessful authentication attempts occur related to [assignment: list of 
authentication events].
FIA_AFL.1.2
When the defined number of unsuccessful authentication attempts has been [selection: 
met, surpassed], the TSF shall [assignment: list of actions].","FIA_UAU.1"
"FIA_API.1","Authentication proof of identity","FIA_API.1.1
The TSF shall provide an [assignment: authentication mechanism] to prove the identity of 
[assignment: entity] by including the following properties [assignment: list of properties] 
to an external entity.",""
"FIA_ATD.1","User attribute definition","FIA_ATD.1.1
The TSF shall maintain the following list of security attributes belonging to individual 
users: [assignment: list of security attributes].",""
"FIA_SOS.1","Verification of secrets","FIA_SOS.1.1
The TSF shall provide a mechanism to verify that secrets meet [assignment: a defined 
quality metric].",""
"FIA_SOS.2","TSF Generation of secrets","FIA_SOS.2.1
The TSF shall provide a mechanism to generate secrets that meet [assignment: a defined quality 
metric].
FIA_SOS.2.2
The TSF shall be able to enforce the use of TSF generated secrets for [assignment: list of 
TSF functions].",""
"FIA_UAU.1","Timing of authentication","FIA_UAU.1.1
The TSF shall allow [assignment: list of TSF mediated actions] on behalf of the user to be 
performed before the user is authenticated.
FIA_UAU.1.2
The TSF shall require each user to be successfully authenticated before allowing any other 
TSF-mediated actions on behalf of that user.","FIA_UID.1"
"FIA_UAU.2","User authentication before any action","FIA_UAU.2.1
The TSF shall require each user to be successfully authenticated before allowing any other TSF 
mediated actions on behalf of that user.","FIA_UID.1"
"FIA_UAU.3","Unforgeable authentication","FIA_UAU.3.1
The TSF shall [selection: detect, prevent] use of authentication data that has been forged by 
any user of the TSF.
FIA_UAU.3.2
The TSF shall [selection: detect, prevent] use of authentication data that has been copied 
from any other user of the TSF.",""
"FIA_UAU.4","Single-use authentication mechanisms","FIA_UAU.4.1
The TSF shall prevent reuse of authentication data related to [assignment: identified 
authentication mechanism(s)].",""
"FIA_UAU.5","Multiple authentication mechanisms","FIA_UAU.5.1
The TSF shall provide [assignment: list of multiple authentication mechanisms] to support 
user authentication.
FIA_UAU.5.2
The TSF shall authenticate any user's claimed identity according to the [assignment: rules 
describing how the multiple authentication mechanisms provide authentication].",""
"FIA_UAU.6","Re-authenticating","FIA_UAU.6.1
The TSF shall re-authenticate the user under the conditions [assignment: list of conditions 
under which re-authentication is required].",""
